Nr,TID,Points,Min x [nm],Max x [nm],Mean x [nm],SD x [nm],Min y [nm],Max y [nm],Mean y [nm],SD y [nm],Dur [sec],Min I [val],Max I [val],Mean I [val],SD I [val],Len [nm],Min D2S [nm],Max D2S [nm],Mean D2S [nm],SD D2S [nm],Min D2R [nm],Max D2R [nm],Mean D2R [nm],SD D2R [nm],Min D2P [nm],Max D2P [nm],Mean D2P [nm],SD D2P [nm],Min v [nm/sec],Max v [nm/sec],Mean v [nm/sec],SD v [nm/sec],Min α [deg],Max α [deg],Mean α [deg],SD α [deg],Min Δα [deg],Max Δα [deg],Mean Δα [deg],SD Δα [deg]
13,13,6,15761.22,15972.78,15867,94.613,91922.82,92028.6,91940.45,43.185,29,351,387,369,13.784,361.156,0,211.56,113.083,96.289,NA,NA,NA,NA,0,149.596,72.231,68.321,0,29.919,13.036,12.914,0,180,81,92.223,-180,180,11.25,148.682
14,14,6,23483.16,23588.94,23536.05,57.938,102500.82,102712.38,102641.86,86.369,29,355,420,390.333,23.475,466.936,0,236.531,156.666,92.686,NA,NA,NA,NA,0,149.596,93.387,55.546,0,24.933,15.565,9.258,0,180,81,80.498,-180,90,-33.75,144.07
15,15,6,42629.34,43052.46,42805.64,196.952,84835.56,84941.34,84870.82,54.625,29,222,327,284.333,38.914,757.626,0,436.142,256.293,193.769,NA,NA,NA,NA,105.78,334.506,151.525,102.289,17.63,55.751,25.959,16.724,-161.565,180,21.687,141.82,-180,108.435,-67.5,123.547
16,16,6,53736.24,53947.8,53912.54,86.369,86528.04,86633.82,86563.3,54.625,29,332,403,377.5,27.819,448.091,0,236.531,57.052,97.578,NA,NA,NA,NA,0,236.531,89.618,97.684,0,47.306,16.513,19.34,-90,153.435,30.687,93.587,-180,153.435,15.859,144.955
17,17,6,54159.36,54370.92,54300.4,86.369,95942.46,96048.24,95995.35,57.938,29,286,423,375.333,47.844,361.156,0,211.56,102.755,86.433,NA,NA,NA,NA,0,149.596,72.231,68.321,0,29.919,13.036,12.914,-90,180,45,110.227,-180,135,-56.25,134.374
18,18,6,112126.8,112232.58,112162.06,54.625,85047.12,85258.68,85082.38,86.369,29,181,256,200.167,29.185,448.091,0,236.531,57.052,97.578,NA,NA,NA,NA,0,236.531,89.618,123.032,0,42.312,16.347,22.407,-90,63.435,-5.313,54.733,-153.435,63.435,-22.5,92.27
19,19,6,107260.92,107366.7,107278.55,43.185,73093.98,73093.98,73093.98,0,29,212,444,336.5,88.636,105.78,0,105.78,88.15,43.185,NA,NA,NA,NA,0,105.78,21.156,47.306,0,17.63,3.526,7.884,0,180,36,80.498,-180,0,-45,90
20,20,6,92769.06,92980.62,92804.32,86.369,55217.16,55534.5,55411.09,104.002,29,193,357,249,63.103,404.971,0,381.395,134.086,128.332,NA,NA,NA,NA,0,299.191,80.994,130.292,0,59.838,15.494,25.938,-90,0,-27,40.249,-45,90,11.25,56.624
21,21,6,20415.54,20627.1,20521.32,94.613,13751.4,13751.4,13751.4,0,29,255,423,349.167,55.34,423.12,0,211.56,105.78,94.613,NA,NA,NA,NA,0,105.78,84.624,47.306,0,21.156,14.809,8.418,0,180,108,98.59,-180,180,45,172.337
22,22,6,33743.82,33743.82,33743.82,0,14068.74,14174.52,14104,54.625,29,223,425,306.5,81.934,317.34,0,105.78,35.26,54.625,NA,NA,NA,NA,0,105.78,63.468,57.938,0,21.156,11.283,10.4,-90,90,18,75.299,-180,90,22.5,135
23,23,6,57861.66,58179,58037.96,128.106,2856.06,3067.62,2997.1,86.369,29,194,231,203.833,13.906,921.154,0,236.531,149.364,95.051,NA,NA,NA,NA,0,236.531,184.231,103.554,0,42.312,32.116,17.997,-153.435,180,12.687,122.339,-153.435,116.565,-38.359,132.207
24,24,6,34907.4,35118.96,35013.18,94.613,69814.8,70026.36,69920.58,66.901,29,379,427,404.333,18.737,572.716,0,299.191,156.782,103.851,NA,NA,NA,NA,0,211.56,114.543,77.322,0,35.26,20.088,13.624,-135,180,-9,120.748,-180,0,-101.25,76.852
25,25,6,38503.92,38503.92,38503.92,0,62092.86,62304.42,62251.53,88.502,29,298,470,387,71.967,317.34,0,211.56,158.67,88.502,NA,NA,NA,NA,0,211.56,63.468,94.613,0,35.26,11.283,16.235,-90,90,0,63.64,-90,0,-45,51.962
